title,price,rating,availability,category,title_hashtags,title_mentions,title_keywords
a light in the attic,65.75,3,22,poetry,,,"light,the,attic"
tipping the velvet,68.25,1,20,historical fiction,,,"tipping,the,velvet"
soumission,63.63,1,20,fiction,,,soumission
sharp objects,60.73,4,20,mystery,,,"sharp,objects"
sapiens a brief history of humankind,68.87,5,20,history,,,"sapiens:,brief,history,humankind"
the requiem red,28.77,1,19,young adult,,,"the,requiem,red"
the dirty little secrets of getting your dream job,42.34,4,19,business,,,"the,dirty,little,secrets,getting"
the coming woman a novel based on the life of the infamous feminist victoria woodhull,22.77,3,19,default,,,"the,coming,woman:,novel,based"
the boys in the boat nine americans and their epic quest for gold at the 1936 berlin olympics,28.7,4,19,default,,,"the,boys,the,boat:,nine"
the black maria,66.23,1,19,poetry,,,"the,black,maria"
starving hearts triangular trade trilogy 1,17.77,2,19,default,#1,,"starving,hearts,(triangular,trade,trilogy,"
shakespeares sonnets,26.24,4,19,poetry,,,"shakespeare's,sonnets"
set me free,22.17,5,19,young adult,,,"set,free"
scott pilgrims precious little life scott pilgrim 1,66.41,5,19,sequential art,#1,,"scott,pilgrim's,precious,little,life"
rip it up and start again,44.48,5,19,music,,,"rip,and,start,again"
our band could be your life scenes from the american indie underground 19811991,72.71,3,19,music,,,"our,band,could,your,life:"
olio,30.33,1,19,poetry,,,olio
mesaerion the best science fiction stories 18001849,47.74,1,19,science fiction,,,"mesaerion:,the,best,science,fiction"
libertarianism for beginners,65.19,2,19,politics,,,"libertarianism,for,beginners"
its only the himalayas,57.37,2,19,travel,,,"it's,only,the,himalayas"
